title,year,mileage,price,description,image_url,url,postcode,proxy,age
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2015,112202,6994,"MWB L2H2 Medium Roof 310 Trend Air Con Cruise Side Door NO VAT 2.2 | 2.2 TDCi 280 Duratorq Panel Van 3dr Diesel Manual FWD L2 H2 (207 g/km, 128 bhp) | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr",https://m.atcdn.co.uk/a/media/w480/847329ade4fd4bab8f58031978d33f8d.jpg,/van-details/202504111240857?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=e0ea36cf-9cdb-4ab6-9288-07163834f812&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,10
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,122592,8500,2.0 350 EcoBlue RWD L2 H1 Euro 6 2dr (DRW) | 2.0 350 EcoBlue FWD L2 H2 Euro 6 5dr | 2.0 350 EcoBlue FWD L2 H3 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/94490addea754f13907c7a17aac9d5c2.jpg,/van-details/202505162466661?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=042e0d28-683b-401e-806a-b4ebeeee0277&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2018,122592,8500,2.0 350 EcoBlue RWD L2 H1 Euro 6 2dr (DRW) | 2.0 310 EcoBlue Leader FWD L2 H3 Euro 6 (s/s) 5dr | 2.0 350 EcoBlue Leader Crew Van FWD L2 H2 Euro 6 (s/s) 6dr,https://m.atcdn.co.uk/a/media/w480/94490addea754f13907c7a17aac9d5c2.jpg,/van-details/202505162466661?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=a4c52aea-9292-4c47-8082-1d9a37fba968&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,7
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,71107,15495,2.0 350 EcoBlue 1-Way Tipper RWD L2 Euro 6 2dr (1-Stop) | 2.4 TDCi 350 RWD L2 2dr (1-Way) | NEW MOT |EX BT TIPPER | NO VAT,https://m.atcdn.co.uk/a/media/w480/13fdcec9e429429dbf3df190e33c8915.jpg,/van-details/202502058771240?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=68267fc1-e6d1-4dc9-9519-a02fe5b46bcd&advertising-location=at_vans&make=FORD&model=TRANSIT&page=4&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,98000,10590,MWB L2H2 LEADER REFRIGERATED 130 PS 2.0 | 2.0 310 EcoBlue FWD L2 H2 Euro 6 5dr | 2.0 290 EcoBlue Leader FWD L2 H2 Euro 6 (s/s) 5dr,https://m.atcdn.co.uk/a/media/w480/2d405e1c16a440399237a51d4503958f.jpg,/van-details/202505202623513?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=d4365748-c6f7-4bbd-9a8f-98b84d159e60&advertising-location=at_vans&make=FORD&model=TRANSIT&page=5&postcode=L1%200AD&price-from=500&wheelbase=MWB&fromsra,L1 0AD,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2015,118107,7494,MWB L2H3 High Roof 350 Tow Bar NO VAT 2.2 | 2.2 TDCi 280 Duratorq FWD L2 H2 3dr | 2.0 290 EcoBlue FWD L2 H2 Euro 6 5dr,https://m.atcdn.co.uk/a/media/w480/7339b4847c894af98710aee8819ad721.jpg,/van-details/202503059793186?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=96b12057-87db-4ae5-b620-f339d4b045e1&advertising-location=at_vans&make=FORD&model=TRANSIT&page=1&postcode=PO1%209AD&price-from=500&wheelbase=MWB&fromsra,PO1 9AD,,10
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2015,112202,6994,MWB L2H2 Medium Roof 310 Trend Air Con Cruise Side Door NO VAT 2.2 | 2.2 TDCi 300 Crew Van 4dr Diesel Manual FWD L2 H3 (138 bhp) Combi Van | 2.2 TDCi 290 Trend Panel Van 5dr Diesel Manual FWD L2 H2 Euro 5 (s/s) (125 ps),https://m.atcdn.co.uk/a/media/w480/847329ade4fd4bab8f58031978d33f8d.jpg,/van-details/202504111240857?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=2d6be87d-04be-4270-bcf5-6b7ed4691bd9&advertising-location=at_vans&make=FORD&model=TRANSIT&page=2&postcode=PO1%209AD&price-from=500&wheelbase=MWB&fromsra,PO1 9AD,,10
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2020,35269,15495,2.0 290 EcoBlue Leader Panel Van 5dr Diesel Manual FWD L2 H2 Euro 6 (s/s) (105 ps) | 2.0 290 EcoBlue Trend Panel Van 5dr Diesel Manual FWD L2 H2 Euro 6 (s/s) (130 ps) | TREND L2H2 NEW WET BELT FSH,https://m.atcdn.co.uk/a/media/w480/be3c6fd8d132451089a5a4887bc5e618.jpg,/van-details/202504281812069?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=9a3fa4bf-10f8-456f-ba5e-c0ce237cc3ee&advertising-location=at_vans&make=FORD&model=TRANSIT&page=3&postcode=PO1%209AD&price-from=500&wheelbase=MWB&fromsra,PO1 9AD,,5
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2021,40167,17990,MWB L2H2 Medium Roof 350 Trend Air Con Nav Sensors EURO 6 2.0 | 2.0 350 EcoBlue Trend RWD L2 H2 Euro 6 (s/s) 5dr | NEW WETBELT+L2H2+A/C+TREND+RWD,https://m.atcdn.co.uk/a/media/w480/f73af92dff3f4950bb45895f9b1fe0a8.jpg,/van-details/202503190333636?journey=FEATURED_LISTING_JOURNEY&sort=relevance&twcs=true&searchId=502b910f-98b0-4de0-b67c-70eab6409176&advertising-location=at_vans&make=FORD&model=TRANSIT&page=4&postcode=PO1%209AD&price-from=500&wheelbase=MWB&fromsra,PO1 9AD,,4
"FORD
TRANSIT
Medium wheelbase
Price
Year
Mileage
Body type
Clear all",2015,118107,7494,MWB L2H3 High Roof 350 Tow Bar NO VAT 2.2 | 2.0 350 EcoBlue Leader RWD L2 H3 Euro 6 (s/s) 5dr | 2.0 350 EcoBlue RWD L2 H3 Euro 6 MWB MOBILE WORKSHOP/PANEL VAN,https://m.atcdn.co.uk/a/media/w480/7339b4847c894af98710aee8819ad721.jpg,/van-details/202503059793186?journey=FEATURED_LISTING_JOURNEY&sort=relevance&searchId=453c70f3-f05d-4c72-95fa-5906da8eba91&advertising-location=at_vans&make=FORD&model=TRANSIT&page=5&postcode=PO1%209AD&price-from=500&wheelbase=MWB&fromsra,PO1 9AD,,10
